Company Name,Website URL,Type,State,Revenue,EIN,NTEE Code,Slug,Confidence
Mindful Community Development Foundation,,foundation,CA,0,844125301,S20,mindful-community-development-foundation,medium
Mkg Community Development Foundation,,foundation,TX,0,881955881,P20,mkg-community-development-foundation,medium
Nations Community Development Foundation,,corporate,TX,0,852081272,T21,nations-community-development-foundation,medium
Riverwoods Community Development Foundation,,corporate,IL,0,392140497,T21,riverwoods-community-development-foundation,medium
Streator Community Development Foundation,,foundation,IL,0,814936538,L11,streator-community-development-foundation,medium
Westend Community Development Foundation,,foundation,CO,0,853710472,A01,westend-community-development-foundation,medium
Worldwide Community Development Foundation,,foundation,MI,0,852696052,P01,worldwide-community-development-foundation,medium
Foundations Community Development Corporation,,foundation,FL,0,861388739,S20,foundations-community-development-corporation,medium
Epiphany Community Development Foundation,,foundation,TX,0,923413917,S02,epiphany-community-development-foundation,medium
Refugee Communiy Development Foundation,,foundation,CA,0,815036387,A25,refugee-communiy-development-foundation,medium
Aii Comminuty Development Foundation,,foundation,GA,0,815433918,K30,aii-comminuty-development-foundation,medium
Appalachian Community Capital Development Foundation,,impact-fund,VA,0,462827486,T30,appalachian-community-capital-development-foundation,medium
Newton Community Development Foundation Inc,,foundation,MA,0,42453465,,newton-community-development-foundation-inc,medium
Bowling Green Community Development Foundation,,foundation,OH,0,341585365,,bowling-green-community-development-foundation,medium
Bwi Community Development Foundation Inc,,foundation,MD,0,264630714,T31,bwi-community-development-foundation-inc,medium
Belpre Area Community Development Foundation,,foundation,OH,0,311315350,T31,belpre-area-community-development-foundation,medium
Nelson County Community Development Foundation,,foundation,VA,0,541509522,,nelson-county-community-development-foundation,medium
Community Of Caring Development Foundation,,foundation,OH,0,830996863,P20,community-of-caring-development-foundation,medium
Qiyam Foundation For Community Development,,foundation,WA,0,883564250,X40,qiyam-foundation-for-community-development,medium
Community Development Support Services Foundation,,foundation,NY,0,134065966,P192,community-development-support-services-foundation,medium
The Midtown Community Development Foundation,,foundation,OK,0,833017938,T50,the-midtown-community-development-foundation,medium
Foundation For Community Development Inc,,foundation,MD,0,821827936,T30,foundation-for-community-development-inc,medium
Ottawa County Community Development Foundation,,foundation,KS,0,861869841,S32,ottawa-county-community-development-foundation,medium
Imani Pearls Community Development Foundation,,foundation,IL,0,383651280,T31,imani-pearls-community-development-foundation,medium
Centerville Community Development Foundation Inc,,foundation,WI,0,391796797,S20,centerville-community-development-foundation-inc,medium
Kappa Community Development Foundation Inc,,foundation,MD,0,204690710,T31,kappa-community-development-foundation-inc,medium
Anderson Community Development Foundation Inc,,foundation,GA,0,582397576,T31,anderson-community-development-foundation-inc,medium
Kane Community Development Foundation Inc,,foundation,PA,0,251324911,,kane-community-development-foundation-inc,medium
Philanthropic Venture Fund Of Thegreater Virginia Peninsula Inc,,impact-fund,VA,0,208543159,T31,philanthropic-venture-fund-of-thegreater-virginia-peninsula-inc,medium
Tn Social Innovation Fund,,impact-fund,TN,0,841868808,S20,tn-social-innovation-fund,medium
The Social Good Innovation Fund,,impact-fund,FL,0,850963053,P19,the-social-good-innovation-fund,medium
Economic Opportunity Fund,,impact-fund,DC,0,992078540,R01,economic-opportunity-fund,medium
Sustainable Development Foundation,,foundation,IL,0,934633957,C35,sustainable-development-foundation,medium
Foundation For Sustainable Development,,foundation,CA,0,561938284,Q30Z,foundation-for-sustainable-development,medium
Foundation For Sustainable Development,,foundation,TX,0,742897139,C11,foundation-for-sustainable-development,medium
Haitian Sustainable Development Foundation,,foundation,OR,0,201956025,P20,haitian-sustainable-development-foundation,medium
Sustainable Development Goals Foundation,,foundation,TX,0,871099437,W12,sustainable-development-goals-foundation,medium
Forming Sustainable Development Foundation Inc,,foundation,,0,863475015,Q20,forming-sustainable-development-foundation-inc,medium
Sustainable Housing And Development Foundation,,foundation,CO,0,862325161,T23,sustainable-housing-and-development-foundation,medium
African Sustainable Development Foundation   Asdf,,foundation,CO,0,800540202,Q30,african-sustainable-development-foundation-asdf,medium
Kuramo Foundation For Sustainable Development Inc,,foundation,NY,0,883327466,S43,kuramo-foundation-for-sustainable-development-inc,medium
Foundation For Sustainable Development Usa Inc,,foundation,FL,0,884107034,Q33,foundation-for-sustainable-development-usa-inc,medium
Global Health And Sustainable Development Foundation,,foundation,CO,0,884247486,P20,global-health-and-sustainable-development-foundation,medium
Umoja Foundation For Sustainable Development Inc,,foundation,KY,0,832916244,Q33,umoja-foundation-for-sustainable-development-inc,medium
Us Asia Sustainable Development Foundation Inc,,foundation,MA,0,993108272,C35,us-asia-sustainable-development-foundation-inc,medium
Foundation For Sustainable Development Of Africa,,foundation,OH,0,331194983,Q30,foundation-for-sustainable-development-of-africa,medium
Foundation For Sustainable Community Development Initiative I,,foundation,NY,0,824611218,S01,foundation-for-sustainable-community-development-initiative-i,medium
Global Alliance For Sustainable Development Foundation Incorporate,,foundation,NY,0,991968425,B01,global-alliance-for-sustainable-development-foundation-incorporate,medium
Chicago Community Loan Fund,,cdfi,IL,0,363762123,S20Z,chicago-community-loan-fund,medium
Florida Community Loan Fund,,cdfi,FL,0,650545058,S31,florida-community-loan-fund,medium
Ipai Community Loan Fund,,cdfi,CA,0,811047132,,ipai-community-loan-fund,medium
Tulsa Community Loan Fund,,cdfi,OK,0,731444324,L20,tulsa-community-loan-fund,medium
Fredericktown Community Loan Fund,,cdfi,OH,0,812232007,X12,fredericktown-community-loan-fund,medium
Illinois Community Loan Fund,,cdfi,IL,0,821351621,S30,illinois-community-loan-fund,medium
New Hampshire Community Loan Fund,,cdfi,NH,0,222524015,,new-hampshire-community-loan-fund,medium
Enterprise Community Loan Fund Inc,,cdfi,MD,0,520192004,L20,enterprise-community-loan-fund-inc,medium
South Carolina Community Loan Fund,,cdfi,SC,0,10793507,L99,south-carolina-community-loan-fund,medium
Renaissance Community Loan Fund Inc,,cdfi,MS,0,208181931,M20,renaissance-community-loan-fund-inc,medium
Vermont Community Loan Fund Inc,,cdfi,VT,0,222864900,L210,vermont-community-loan-fund-inc,medium
Hartford Community Loan Fund Inc,,cdfi,CT,0,61423598,S410,hartford-community-loan-fund-inc,medium
Rising Tide Community Loan Fund,,cdfi,PA,0,233079170,S31,rising-tide-community-loan-fund,medium
Malvern Community Student Loan Fund,,cdfi,IA,0,426076075,B82,malvern-community-student-loan-fund,medium
Valley Community Loan Fund Inc,,cdfi,NH,0,455527463,S30,valley-community-loan-fund-inc,medium
Azteca Community Loan Fund Inc,,cdfi,,0,311749238,,azteca-community-loan-fund-inc,medium
New Mexico Community Development Loan Fund,,cdfi,NM,0,850377424,,new-mexico-community-development-loan-fund,medium
Black Hills Community Loan Fund Inc,,cdfi,SD,0,262504959,S20,black-hills-community-loan-fund-inc,medium
Chugach Region Community Loan Fund Inc,,cdfi,AK,0,452508774,S32,chugach-region-community-loan-fund-inc,medium
Greater New Haven Community Loan Fund,,cdfi,,0,222889913,,greater-new-haven-community-loan-fund,medium
Community Loan Fund Of New Jersey Inc,,cdfi,NJ,0,222872262,S120,community-loan-fund-of-new-jersey-inc,medium
Community Redevelopment Loan And Investment Fund Inc,,impact-fund,GA,0,582435590,S202,community-redevelopment-loan-and-investment-fund-inc,medium
East Hampton Community Revolving Loan Fund Inc,,cdfi,NY,0,113219715,S21,east-hampton-community-revolving-loan-fund-inc,medium
Catholic Community Deposit And Loan Fund Inc,,cdfi,NC,0,832717686,,catholic-community-deposit-and-loan-fund-inc,medium
Community Loan Fund Of The Capital Region Inc,,cdfi,NY,0,222706505,L80J,community-loan-fund-of-the-capital-region-inc,medium
Lapeer Community Scholarship And Student Loan Fund Incorporated,,cdfi,MI,0,383415982,B82,lapeer-community-scholarship-and-student-loan-fund-incorporated,medium
Ndc Housing And Economic Development Corporation,,foundation,NY,0,133678913,,ndc-housing-and-economic-development-corporation,medium
Greenhorn Innovation Fund A Nj Nonprofit Corporation,,impact-fund,NJ,0,995088727,B80,greenhorn-innovation-fund-a-nj-nonprofit-corporation,medium
Impact Charitable Foundation,,foundation,IL,0,850699436,A12,impact-charitable-foundation,medium
Impact Foundation Charitable Trust Aka Impact Foundation,,foundation,,0,452851307,,impact-foundation-charitable-trust-aka-impact-foundation,medium
Impact Group Charitable Foundation,,foundation,MO,0,263602542,T20,impact-group-charitable-foundation,medium
Levity Impact Charitable Foundation,,foundation,AZ,0,203577274,T20,levity-impact-charitable-foundation,medium
Kairos Impact Charitable Foundation,,foundation,CA,0,921700524,T23,kairos-impact-charitable-foundation,medium
Alpha Impact Charitable Foundation,,foundation,TX,0,462292212,S21,alpha-impact-charitable-foundation,medium
Chimp Charitable Impact Foundation Usa,,foundation,CA,0,461259161,T30,chimp-charitable-impact-foundation-usa,medium
Make An Impact Charitable Foundation,,corporate,TX,0,901007690,T21,make-an-impact-charitable-foundation,medium
Pride Of Houston Charitable Impact Foundation,,foundation,TX,0,871503691,E01,pride-of-houston-charitable-impact-foundation,medium
Hudson Boyd Turner Charitable Impact Foundation,,foundation,TX,0,872141786,P12,hudson-boyd-turner-charitable-impact-foundation,medium
Mpm Oncology Impact Fund Charitable Foundation Inc,,impact-fund,MA,0,811220217,H12,mpm-oncology-impact-fund-charitable-foundation-inc,medium
Joseph R Tomkinson And Impac Charitable Foundation,,foundation,CA,0,832004249,P20,joseph-r-tomkinson-and-impac-charitable-foundation,medium
Madan Family Global Impact Charitab Le Foundation Inc,,foundation,CT,0,413078829,P20,madan-family-global-impact-charitab-le-foundation-inc,medium
National Christian Charitable Foundation Inc,,foundation,GA,0,833066562,T31,national-christian-charitable-foundation-inc,medium
Morgan Stanley Global Impact Funding Trust Inc,,impact-fund,NY,0,472573136,T90,morgan-stanley-global-impact-funding-trust-inc,medium
Grant Philanthropic Foundation Inc,,foundation,FL,0,813871322,T22,grant-philanthropic-foundation-inc,medium
Rio Grande Valley Philanthropic Foundation,,foundation,TX,0,742826613,T31,rio-grande-valley-philanthropic-foundation,medium
Granite Community Foundation,,foundation,VA,0,990573377,S99,granite-community-foundation,medium
Grant School Community Foundation,,foundation,CA,0,330572329,T30,grant-school-community-foundation,medium
Grant County Community Foundation Inc,,foundation,KS,0,821493413,T31,grant-county-community-foundation-inc,medium
Grant Community High School Foundation,,foundation,IL,0,462184344,B82,grant-community-high-school-foundation,medium
Rio Grande Valley Community Foundation,,foundation,TX,0,421533150,N52,rio-grande-valley-community-foundation,medium
Granite City Area Community Foundation,,foundation,IL,0,460606428,T31,granite-city-area-community-foundation,medium
La Grande Community Library Foundation,,foundation,OR,0,911765629,W40I,la-grande-community-library-foundation,medium
Community Foundation Of Grant County Indiana Inc,,foundation,IN,0,311117791,T310,community-foundation-of-grant-county-indiana-inc,medium
Willamette Community And Grange Hall Historic Building Foundation,,foundation,OR,0,844990324,A80,willamette-community-and-grange-hall-historic-building-foundation,medium
Orthodox Venture Philanthropy,,impact-fund,KS,0,871836836,T11,orthodox-venture-philanthropy,medium
Nw Venture Philanthropy Foundation,,impact-fund,WA,0,455362531,,nw-venture-philanthropy-foundation,medium
Philanthropic Ventures Foundation,,impact-fund,CA,0,943136771,T500,philanthropic-ventures-foundation,medium
Songfarm Philanthropic Ventures,,impact-fund,TN,0,842380954,A68,songfarm-philanthropic-ventures,medium
Palm Beach Venture Philanthropy Inc,,impact-fund,FL,0,994974838,S20,palm-beach-venture-philanthropy-inc,medium
Phoenix Venture Philanthropy Foundation Inc,,impact-fund,FL,0,134351448,T30,phoenix-venture-philanthropy-foundation-inc,medium
W3 Philanthropic Ventures Inc,,impact-fund,MD,0,813035978,B82,w3-philanthropic-ventures-inc,medium
Tiger Global Philanthropic Ventures Inc,,impact-fund,NY,0,854007593,T20,tiger-global-philanthropic-ventures-inc,medium
